C-FKCR,43.663206,-79.699598,1466384688358,2000
C-FKCR,43.658411,-79.685604,1466384691655,2000
C-FKCR,43.657201,-79.685211,1466384694077,2000
C-FKCR,43.657379,-79.68371,1466384699999,2500
C-FKCR,43.652685,-79.685473,1466384703124,2500
C-FKCR,43.651009,-79.685996,1466384710968,2500
C-FKCR,43.648216,-79.686323,1466384712530,2500
C-FKCR,43.648216,-79.697832,1466384715609,2500
C-FKCR,43.647079,-79.699806,1466384716921,2500
C-FKCR,43.64249,-79.703326,1466384722484,2500
C-FKCR,43.642502,-79.703319,1466384723546,2500
C-FKCR,43.639697,-79.705026,1466384725030,2500
C-FKCR,43.638394,-79.70823,1466384733327,3000
C-FKCR,43.635507,-79.710977,1466384736718,3000
C-FKCR,43.633692,-79.714181,1466384744359,3000
C-FKCR,43.633692,-79.714181,1466384745515,3000
C-FKCR,43.631104,-79.71603,1466384748718,3500
C-FKCR,43.631104,-79.71603,1466384749890,3500
C-FKCR,43.630294,-79.723925,1466384753140,3500
C-FKCR,43.63028,-79.723887,1466384755015,3500
C-FKCR,43.625793,-79.735512,1466384756109,3500
C-FKCR,43.625406,-79.739816,1466384758046,3500
C-FKCR,43.623505,-79.744518,1466384762499,4000
C-FKCR,43.623497,-79.744524,1466384764609,4000
C-FKCR,43.621582,-79.750011,1466384765843,4000
C-FKCR,43.618888,-79.75453,1466384771281,4000
C-FKCR,43.615402,-79.764,1466384774327,4500
C-FKCR,43.615397,-79.764012,1466384775421,4500
C-FKCR,43.614792,-79.768982,1466384777781,4500
C-FKCR,43.612793,-79.776902,1466384785312,5000
C-FKCR,43.611719,-79.780622,1466384786421,5000
C-FKCR,43.608181,-79.790628,1466384790906,5000
C-FKCR,43.609314,-79.80143,1466384792609,5000
C-FKCR,43.610788,-79.808677,1466384799687,5500
C-FKCR,43.610788,-79.808677,1466384801031,5500
C-FKCR,43.609811,-79.817897,1466384807781,5500
C-FKCR,43.617399,-79.828099,1466384813640,6000
C-FKCR,43.618888,-79.830976,1466384815390,6000
C-FKCR,43.623779,-79.838796,1466384821437,6000
C-FKCR,43.626709,-79.843205,1466384824452,6000
C-FKCR,43.629502,-79.84981,1466384827421,6000
C-FKCR,43.631783,-79.852295,1466384828999,6000
C-FKCR,43.633087,-79.852295,1466384830765,6500
C-FKCR,43.635315,-79.856425,1466384832265,6500
C-FKCR,43.638394,-79.86387,1466384839499,6500
C-FKCR,43.642397,-79.86387,1466384840640,6500
C-FKCR,43.646494,-79.869298,1466384846843,6500
C-FKCR,43.648309,-79.869821,1466384848218,6500
C-FKCR,43.646494,-79.869298,1466384846843,6500
C-FKCR,43.648309,-79.869821,1466384848218,6500
C-FKCR,43.652918,-79.878518,1466384855765,6500
C-FKCR,43.657294,-79.885973,1466384858453,6500
C-FKCR,43.659482,-79.888981,1466384860390,6500
C-FKCR,43.660692,-79.890224,1466384863187,7000
C-FKCR,43.660692,-79.890224,1466384864312,7000
C-FKCR,43.660721,-79.890215,1466384865922,7000
C-FKCR,43.664416,-79.896502,1466384867562,7000
C-FKCR,43.668792,-79.903499,1466384870672,7000
C-FKCR,43.670515,-79.906115,1466384871687,7000
C-FKCR,43.674192,-79.91187,1466384874672,7000
C-FKCR,43.676422,-79.920299,1466384879703,7500
C-FKCR,43.680496,-79.926815,1466384881750,7500
C-FKCR,43.680477,-79.92678,1466384883015,7500
C-FKCR,43.680679,-79.926687,1466384886672,7500
C-FKCR,43.685504,-79.934431,1466384889719,7500
C-FKCR,43.685715,-79.934416,1466384891562,7500
C-FKCR,43.685691,-79.934431,1466384893187,8000
C-FKCR,43.690811,-79.942671,1466384894312,8000
C-FKCR,43.693418,-79.946725,1466384900547,8000
C-FKCR,43.69528,-79.949275,1466384904922,8000
C-FKCR,43.69798,-79.953199,1466384906187,8500
C-FKCR,43.70082,-79.956992,1466384907422,8500
C-FKCR,43.69528,-79.949275,1466384904922,8000
C-FKCR,43.69798,-79.953199,1466384906187,8500
C-FKCR,43.70082,-79.956992,1466384907422,8500
C-FKCR,43.703799,-79.964316,1466384910391,8500
C-FKCR,43.704591,-79.967521,1466384912906,8500
C-FKCR,43.707989,-79.972818,1466384913906,8500
C-FKCR,43.713318,-79.98098,1466384923234,9000
C-FKCR,43.714181,-79.981777,1466384924469,9000
C-FKCR,43.71851,-79.988382,1466384929203,9000
C-FKCR,43.722793,-79.99721,1466384935234,9500
C-FKCR,43.724795,-80.001787,1466384936578,9500
C-FKCR,43.724795,-80.001787,1466384937672,9500
C-FKCR,43.728286,-80.008785,1466384942125,9500
C-FKCR,43.732802,-80.017417,1466384944250,9500
C-FKCR,43.734803,-80.020883,1466384945422,9500
C-FKCR,43.739412,-80.02958,1466384953469,10000
C-FKCR,43.742298,-80.035597,1466384957266,10000
C-FKCR,43.746488,-80.043902,1466384960359,10000
C-FKCR,43.746907,-80.044033,1466384961500,10000
C-FKCR,43.751404,-80.052391,1466384964031,10000
C-FKCR,43.752912,-80.05273,1466384965344,10000
C-FKCR,43.755193,-80.055019,1466384970500,10500
C-FKCR,43.759895,-80.060185,1466384973109,10500
C-FKCR,43.764411,-80.063389,1466384977344,10500
C-FKCR,43.769811,-80.071695,1466384981828,10500
C-FKCR,43.7713,-80.073787,1466384983406,10500
C-FKCR,43.774512,-80.078626,1466384991563,10500
C-FKCR,43.776002,-80.080784,1466384992625,10500
C-FKCR,43.781216,-80.088174,1466384998000,10500
C-FKCR,43.783404,-80.091902,1466384999860,10500
C-FKCR,43.787687,-80.098506,1466385008000,11000
